SITEID,TITLE,lng,lat,Unnamed: 4,接待未成年人,接待未成年人数,身份信息套用,非法信息套用次数
50010510000073,江北****华网吧,106.525883,29.567685,,1,35,0,0
50010510000074,江北****网络）,106.536607,29.578744,,0,0,0,0
50010510000075,江北****会所）,106.544609,29.580694,,0,0,0,0
50010510000076,江北****会所),106.49793,29.574696,,1,462,1,2
50010510000077,江北****竹网吧,106.757505,29.643021,,0,0,0,0
50010510000078,江北****会所）,106.538339,29.578363,,0,0,0,0
50010510000079,江北****扬网吧,106.491248,29.589127,,0,0,0,0
50010510000080,江北****点网吧,106.76896,29.629966,,1,3,1,3
50010510000081,江北****山网吧,106.56346,29.591489,,1,96,0,0
50010510000082,江北****场网吧,106.539337,29.57524,,1,1,1,2
50010510000083,江北****辉网吧,106.713615,29.619318,,1,458,1,8
50010510000085,江北****会所）,106.487278,29.574163,,0,0,1,2
50010510000086,江北****圣网吧,106.563819,29.586063,,0,0,0,0
50010510000087,江北****居网吧,106.543705,29.57776,,1,145,1,2
50010510000088,江北****帕网吧,106.542134,29.589009,,0,0,0,0
50010510000089,江北****城网吧,106.542096,29.584003,,0,0,0,0
50010510000090,江北****络会所,106.558792,29.582406,,0,0,1,1
50010510000091,江北****人网吧,106.489806,29.576198,,0,0,0,0
50010510000092,江北****网吧）,106.713615,29.619318,,1,16,1,1
50010510000093,江北****湾网吧,106.53476,29.583821,,1,9,0,0
50010510000094,江北****会所）,106.534034,29.564925,,0,0,0,0
50010510000095,重庆****会所）,106.667642,29.613772,,1,198,1,1
50010510000096,江北****兰网吧,106.543041,29.575286,,0,0,0,0
50010510000097,江北****林网吧,106.494824,29.572803,,0,0,0,0
50010510000098,江北****雅网吧,106.534236,29.590561,,0,0,0,0
50010510000099,江北****辉网吧,106.713615,29.619318,,0,0,0,0
50010510000100,江北****者网吧,106.469713,29.57077,,1,345,0,0
50010510000101,江北****谷网吧,106.580331,29.617963,,1,88,0,0
50010510000102,江北****光网吧,106.66562,29.612243,,0,0,0,0
50010510000103,江北****会所）,106.497892,29.572686,,0,0,0,0
50010510000104,江北****禧网吧,106.533023,29.578834,,1,6,0,0
50010510000105,江北****会所）,106.534763,29.562017,,1,24,0,0
50010510000106,江北****线网吧,106.532288,29.577392,,1,35,1,4
50010510000107,江北****涛网吧,106.575739,29.605594,,1,3,0,0
50010510000108,江北****网吧）,106.693223,29.590519,,1,23,0,0
50010510000109,江北****益网吧,106.693223,29.590519,,0,0,0,0
50010510000110,江北****爱网吧,106.687046,29.581095,,1,370,1,1
50010510000111,江北****网吧）,106.547907,29.578752,,1,65,0,0
50010510000112,江北****会所）,106.53799,29.588964,,1,154,1,1
50010310000136,渝中****爽网吧,106.559386,29.559703,,0,0,0,0
50010310000139,渝中****园网吧,106.564703,29.569134,,0,0,0,0
50010310000140,渝中****子网吧,106.555508,29.556424,,0,0,1,3
50010310000141,渝中****玲网吧,106.523641,29.543564,,0,0,1,25
50010310000142,渝中****天网吧,106.517554,29.536215,,0,0,0,0
50010310000144,渝中****魔网吧,106.531313,29.555419,,0,0,0,0
50010310000145,渝中****网吧 ,106.558897,29.567211,,0,0,0,0
50010310000146,渝中****使网吧,106.542213,29.554029,,0,0,0,0
50010310000147,渝中****阵网吧,106.585955,29.560937,,0,0,0,0
50010310000149,渝中****禧网吧,106.585058,29.562275,,0,0,0,0
50010310000150,渝中****天网城,106.526213,29.54651,,0,0,1,7
50010310000151,渝中****禾网吧,106.566559,29.563275,,0,0,0,0
50010310000152,渝中****光网吧,106.583128,29.555946,,0,0,0,0
50010310000157,渝中****秋网吧,106.556196,29.555553,,0,0,0,0
50010310000162,渝中****源天地,106.575309,29.562821,,0,0,0,0
50010310000163,渝中****感网吧,106.517554,29.536215,,0,0,1,8
50010310000165,渝中****境网吧,106.59138,29.565154,,0,0,0,0
50010310000167,渝中****网吧）,106.555522,29.558695,,0,0,0,0
50010310000172,渝中****黑网吧,106.569826,29.562121,,0,0,0,0
50010310000173,渝中****辉网吧,106.579879,29.563012,,0,0,0,0
50010310000174,渝中****情网吧,106.521976,29.541863,,0,0,1,3
50010310000175,渝中****圣网吧,106.573266,29.560645,,0,0,0,0
50010310000179,渝中****禾网吧,106.568431,29.560983,,0,0,0,0
50010310000180,渝中****土网吧,106.560397,29.569269,,0,0,1,1
50010310000181,渝中****网吧),106.576432,29.562282,,0,0,1,2
50010310000225,渝中****仲网吧,106.573651,29.563425,,0,0,0,0
50010310000226,渝中****土网吧,106.585451,29.559489,,0,0,1,1
50010310000228,渝中****事通）,106.566933,29.56189,,0,0,0,0
50010410000040,大渡****络会所,106.496898,29.495405,,0,0,0,0
50010410000041,大渡****昊网吧,106.484794,29.480492,,0,0,0,0
50010410000042,大渡****木网吧,106.488974,29.475414,,0,0,0,0
50010410000043,大渡****力网吧,106.49316,29.488201,,0,0,0,0
50010410000044,大渡****来网吧,106.493422,29.485359,,0,0,1,4
50010410000045,大渡****（络）,106.495661,29.4954,,0,0,0,0
50010410000046,大渡****击网吧,106.478323,29.416174,,0,0,0,0
50010410000047,大渡****腾网吧,106.48915,29.48141,,0,0,0,0
50010410000048,大渡****特网吧,106.501839,29.496287,,0,0,0,0
50010410000049,大渡****尔网吧,106.502854,29.495375,,0,0,0,0
50010410000050,大渡****意网吧,106.485063,29.460774,,0,0,0,0
50010410000051,大渡****线网吧,106.486104,29.479997,,0,0,1,4
50010410000052,大渡****巢网吧,106.4861,29.479998,,0,0,0,0
50010410000053,大渡****络会所,106.489861,29.48479,,0,0,0,0
50010410000055,大渡****下网吧,106.491814,29.495342,,0,0,1,3
50010410000056,大渡****蹬网吧,106.43922,29.409068,,0,0,0,0
50010410000057,大渡****林网吧,106.483033,29.485339,,0,0,0,0
50010510000001,江北****凡网吧,106.537525,29.57594,,0,0,1,1
50010510000002,江北****业网吧,106.562385,29.584263,,1,21,0,0
50010510000003,江北****飞网吧,106.492697,29.584911,,0,0,0,0
50010310000184,渝中****国网吧,106.552102,29.564998,,0,0,1,3
50010310000185,渝中****恋网吧,106.523903,29.544944,,0,0,0,0
50010310000186,渝中****岸网吧,106.594154,29.569513,,0,0,1,1
50010310000187,渝中****浩网吧,106.549094,29.561201,,0,0,0,0
50010310000188,渝中****浪网吧,106.537551,29.543972,,0,0,0,0
50010310000189,渝中****上网吧,106.558358,29.556987,,0,0,0,0
50010310000190,渝中****网吧),106.577114,29.560816,,0,0,0,0
50010310000192,渝中****点网吧,106.532397,29.548196,,0,0,0,0
50010310000193,渝中****琦网吧,106.543731,29.554621,,0,0,0,0
50010310000195,渝中****间网吧,106.564583,29.569311,,0,0,0,0
50010310000196,渝中****牛网吧,106.581336,29.556472,,0,0,0,0
50010310000198,（渝****网吧),106.576326,29.560343,,0,0,0,0
50010310000199,渝中****村网吧,106.547949,29.558616,,0,0,0,0
50010310000200,渝中****5网吧,106.522326,29.544037,,0,0,0,0
50010310000201,渝中****冻网吧,106.590692,29.561684,,0,0,0,0
50010310000202,渝中****网吧）,106.558255,29.567705,,0,0,0,0
50010310000206,渝中****团网吧,106.548895,29.561249,,0,0,0,0
50010310000207,渝中****网吧),106.552192,29.564769,,0,0,0,0
50010310000213,渝中****利网吧,106.56815,29.560679,,0,0,1,1
50010310000214,渝中****佳网吧,106.581658,29.558778,,0,0,1,2
50010310000215,渝中****琦网吧,106.57586,29.563207,,0,0,0,0
50010310000217,渝中****园网吧,106.537551,29.543972,,0,0,0,0
50010310000218,渝中****点网吧,106.556141,29.565909,,0,0,0,0
50010310000220,重庆****江门店,106.578334,29.566924,,0,0,1,2
50010510000139,江北****静网吧,106.469631,29.570565,,1,226,0,0
50010510000140,江北****会所）,106.497763,29.57436,,1,389,1,1
50010510000142,江北****风网城,106.490587,29.587875,,0,0,0,0
50010510000143,江北****彩网吧,106.490793,29.571837,,0,0,1,1
50010510000145,江北****会所）,106.713615,29.619318,,0,0,0,0
50010310000235,渝中****网吧）,106.581889,29.560105,,0,0,0,0
50010310000237,渝中****盟网吧,106.584998,29.564185,,0,0,1,2
50010310000239,渝中****灿网吧,106.560592,29.56607,,0,0,0,0
50010310000241,渝中****田网吧,106.553728,29.564986,,0,0,0,0
50010310000245,渝中****才网吧,106.569831,29.5626,,0,0,0,0
50010310000246,渝中****露网吧,106.523254,29.54739,,0,0,1,24
50010310000247,渝中****嘉网吧,106.512571,29.545401,,0,0,1,8
50010310000248,渝中****水网吧,106.524042,29.544434,,0,0,0,0
50010310000249,渝中****华网吧,106.568579,29.564653,,0,0,0,0
50010310000272,渝中****华网吧,106.589588,29.569162,,0,0,1,1
50010310000277,渝中****俱乐部,106.523903,29.544944,,0,0,0,0
50010410000001,大渡****腾网吧,106.488292,29.478548,,0,0,1,4
50010410000002,大渡****娱会所,106.495194,29.49522,,0,0,0,0
50010410000003,大渡****纪网吧,106.48915,29.48141,,0,0,0,0
50010410000004,大渡****里网吧,106.443454,29.4925,,0,0,0,0
50010410000005,大渡****怡网吧,106.490725,29.48178,,0,0,0,0
50010410000006,大渡****点网吧,106.503856,29.497578,,0,0,0,0
50010410000007,大渡****东网吧,106.488911,29.443633,,0,0,0,0
50010410000008,大渡****咣网吧,106.489737,29.495101,,0,0,0,0
50010410000009,大渡****约网吧,106.491748,29.483657,,0,0,0,0
50010410000010,大渡****向网吧,106.479117,29.461448,,0,0,1,2
50010410000011,大渡****乐网吧,106.496536,29.436599,,0,0,1,1
50010410000012,大渡****安网吧,106.513968,29.424628,,0,0,0,0
50010410000013,大渡****雨网吧,106.492049,29.483794,,0,0,0,0
50010410000014,大渡****峰网吧,106.500755,29.49585,,0,0,0,0
50010410000015,大渡****尔网吧,106.48612,29.477631,,0,0,1,8
50010410000016,大渡****城网吧,106.493608,29.436307,,0,0,0,0
50010410000017,大渡****凡网吧,106.490678,29.495674,,0,0,1,1
50010410000018,大渡****会所),106.488373,29.491069,,0,0,0,0
50010410000019,大渡****捷网吧,106.508917,29.436948,,0,0,1,1
50010410000020,大渡****闲网吧,106.494373,29.487068,,0,0,0,0
50010410000021,大渡****蜘网吧,106.470078,29.465988,,0,0,0,0
50010410000022,大渡****正网吧,106.513968,29.424628,,0,0,0,0
50010410000023,大渡****深网吧,106.48915,29.48141,,0,0,0,0
50010410000024,大渡****会所),106.495216,29.488925,,0,0,0,0
50010410000025,大渡****枫网吧,106.49012,29.490009,,0,0,1,1
50010410000026,大渡****仁网吧,106.48915,29.48141,,0,0,0,0
50010410000027,大渡****来网吧,106.492044,29.476266,,0,0,0,0
50010410000028,大渡****德网吧,106.473764,29.44613,,0,0,0,0
50010410000029,大渡****纪网吧,106.491814,29.495342,,0,0,0,0
50010410000030,大渡****利网吧,106.477689,29.416312,,0,0,0,0
50010410000031,大渡****琴网吧,106.481306,29.484926,,0,0,0,0
50010410000032,大渡****鑫网吧,106.487714,29.483129,,0,0,1,1
50010410000034,大渡****牛网吧,106.473367,29.423853,,0,0,0,0
50010410000035,大渡****我网吧,106.485063,29.460774,,0,0,1,9
50010410000036,大渡****莹波）,106.487517,29.477713,,0,0,0,0
50010410000037,大渡****联网吧,106.470078,29.465988,,0,0,0,0
50010410000038,大渡****聚网吧,106.484537,29.46504,,0,0,1,1
50010410000039,大渡****堰网吧,106.501356,29.494697,,0,0,0,0
50010310000001,渝中****渝网吧,106.576045,29.563266,,0,0,0,0
50010310000002,渝中****端网吧,106.555975,29.56042,,0,0,0,0
50010310000003,渝中****梦网吧,106.52269,29.536991,,0,0,0,0
50010310000004,渝中****限公司,106.555644,29.560195,,0,0,0,0
50010310000005,渝中****半网吧,106.580044,29.566614,,0,0,0,0
50010310000006,渝中****西网吧,106.56494,29.563174,,0,0,0,0
50010310000007,渝中****比网吧,106.580082,29.560647,,0,0,1,1
50010310000008,渝中****村网吧,106.517436,29.537934,,0,0,0,0
50010310000009,渝中****松网吧,106.578668,29.555052,,0,0,0,0
50010310000010,渝中****鸟网吧,106.580955,29.558657,,0,0,0,0
50010310000011,渝中****艺网吧,106.557978,29.556022,,0,0,1,2
50010310000012,渝中****梦网吧,106.56736,29.561854,,0,0,0,0
50010310000013,渝中****网吧),106.586057,29.562266,,0,0,1,5
50010310000014,渝中****妹网吧,106.553248,29.566191,,0,0,0,0
50010310000015,渝中****玛网吧,106.569361,29.562711,,0,0,0,0
50010310000017,渝中****灏网吧,106.559466,29.557204,,0,0,0,0
50010310000018,渝中****燕网吧,106.591926,29.56597,,0,0,0,0
50010310000020,渝中****星网吧,106.550885,29.559164,,0,0,0,0
50010310000021,渝中****雪网吧,106.567821,29.561637,,0,0,0,0
50010310000022,渝中****吉网吧,106.546967,29.555236,,0,0,0,0
50010310000023,渝中****点网吧,106.554667,29.555656,,0,0,0,0
50010310000024,渝中****网吧),106.556196,29.555553,,0,0,0,0
50010310000025,渝中****寰宇),106.584219,29.56337,,0,0,1,51
50010310000026,渝中****子网吧,,,,0,0,0,0
50010310000027,渝中****心网吧,106.560434,29.560879,,0,0,0,0
50010510000113,江北****克网吧,106.582973,29.616122,,1,24,1,2
50010510000114,江北****会所）,106.538438,29.589462,,1,46,1,2
50010510000115,江北****会所）,106.541082,29.582737,,1,57,0,0
50010510000116,江北****强网吧,106.534461,29.58742,,0,0,0,0
50010510000117,江北****家园),106.530087,29.58768,,1,214,1,4
50010510000118,江北****鑫网吧,106.548262,29.582436,,0,0,0,0
50010510000119,江北****会所）,106.534952,29.581435,,0,0,1,5
50010510000120,江北****宁网吧,106.54704,29.589327,,1,6,0,0
50010510000121,江北****渔网吧,106.551165,29.579435,,1,3,0,0
50010510000123,江北****会所）,106.534816,29.562836,,0,0,1,2
50010510000125,江北****复网吧,106.799102,29.650848,,1,303,1,1
50010510000126,江北****豪网吧,106.535627,29.583296,,0,0,1,1
50010510000127,江北****会所）,106.767665,29.628813,,0,0,0,0
50010510000128,江北****创网吧,106.563819,29.586063,,0,0,0,0
50010510000129,江北****乐部）,106.54584,29.584001,,0,0,0,0
50010510000130,江北****会所）,106.497119,29.574042,,1,31,0,0
50010510000131,江北****会所）,106.561323,29.58642,,1,731,1,1
50010510000132,江北****会所）,106.53999,29.57781,,1,141,0,0
50010510000133,江北****剑网吧,106.531511,29.562972,,1,8,0,0
50010510000134,江北****会所）,106.542366,29.583468,,1,587,0,0
50010510000136,重庆****会所）,106.538304,29.57806,,1,224,0,0
50010510000137,江北****运网吧,106.65634,29.598658,,1,147,0,0
50010510000138,江北****验网吧,106.540306,29.570947,,1,2,0,0
50010310000028,渝中****路网吧,106.551007,29.561806,,0,0,0,0
50010310000029,渝中****洁网吧,106.553201,29.558241,,0,0,0,0
50010810000082,南岸****奇网吧,106.582969,29.539318,,0,0,1,1
50010810000083,南岸****带网吧,106.56944,29.534468,,0,0,0,0
50010810000084,南岸****费点）,106.610031,29.541007,,0,0,0,0
50010810000085,南岸****捷网吧,106.557012,29.526182,,0,0,1,1
50010810000086,南岸****河网吧,106.565275,29.530821,,0,0,1,1
50010810000087,南岸****虫网吧,106.564115,29.529238,,0,0,0,0
50010810000088,南岸****秀网吧,106.575951,29.525501,,0,0,0,0
50010810000089,南岸****飞网吧,106.601592,29.557362,,0,0,1,2
50010810000090,南岸****奇网吧,106.575558,29.533055,,0,0,1,6
50010810000091,南岸****网吧 ,106.581629,29.527554,,0,0,0,0
50010810000092,南岸****舰网吧,106.56423,29.53477,,0,0,0,0
50010810000093,南岸****灵网吧,106.559319,29.528188,,0,0,0,0
50010810000095,南岸****克网吧,106.556912,29.526281,,0,0,0,0
50010810000096,南岸****雅网吧,106.567316,29.529747,,0,0,0,0
50010810000099,南岸****顺网吧,106.667178,29.541515,,1,3,1,19
50010810000100,南岸****达网吧,106.572003,29.534618,,0,0,0,0
50010810000101,南岸****网网吧,106.564497,29.532705,,0,0,0,0
50010810000102,南岸****盈网吧,106.58139,29.519783,,0,0,1,1
50010810000103,南岸****仕网吧,106.568982,29.527803,,0,0,0,0
50010810000104,南岸****莎网吧,106.667178,29.541515,,0,0,0,0
50010810000105,南岸****恋网吧,106.608498,29.510449,,0,0,1,5
50010810000106,南岸****贝网吧,106.686982,29.537473,,0,0,0,0
50010810000107,南岸****行网吧,106.608167,29.582229,,0,0,0,0
50010810000108,南岸****花网吧,106.551031,29.518669,,0,0,0,0
50010810000109,南岸****太网吧,106.566235,29.541463,,0,0,0,0
50010810000110,南岸****斯网吧,106.578302,29.539864,,0,0,1,3
50010810000111,南岸****新网吧,106.578766,29.532937,,0,0,0,0
50010810000112,南岸****益网吧,106.580324,29.495927,,0,0,0,0
50010810000113,南岸****人网吧,106.607972,29.50589,,0,0,0,0
50010810000114,南岸****尔网吧,106.667178,29.541515,,0,0,1,1
50010810000117,南岸****网吧）,106.607054,29.577515,,0,0,1,1
50010810000118,南岸****概念),106.571261,29.533401,,0,0,0,0
50010810000119,南岸****影网吧,106.581365,29.517995,,0,0,1,2
50010810000120,南岸****悦网吧,106.582171,29.538481,,0,0,0,0
50010810000013,南岸****英网吧,106.576807,29.488708,,0,0,0,0
50010810000014,南岸****洋网吧,106.666254,29.512704,,0,0,0,0
50010810000015,南岸****佳网吧,106.598397,29.587488,,0,0,0,0
50010810000016,南岸****康网吧,106.577922,29.531305,,0,0,0,0
50010810000017,南岸****通网吧,106.671494,29.512264,,0,0,0,0
50010810000018,南岸****方网吧,106.601004,29.554857,,0,0,0,0
50010810000020,南岸****日网吧,106.572086,29.49876,,0,0,0,0
50010810000022,南岸****店网吧,106.569904,29.530545,,0,0,0,0
50010810000023,南岸****佳网吧,106.594659,29.549126,,0,0,0,0
50010810000025,南岸****枫网吧,106.581438,29.519784,,0,0,0,0
50010810000026,南岸****车网吧,106.606986,29.575257,,0,0,1,1
50010810000027,南岸****友网吧,106.574975,29.530919,,0,0,1,6
50010810000028,南岸****网苑),106.600769,29.558045,,0,0,0,0
50010810000029,南岸****锁网吧,,,,0,0,0,0
50010810000030,南岸****旋网吧,106.612021,29.545993,,0,0,0,0
50010810000031,南岸****网吧）,106.577394,29.532314,,0,0,0,0
50010810000032,南岸****赢网吧,106.56944,29.534468,,0,0,1,1
50010810000033,南岸****潮网吧,106.672904,29.510531,,0,0,1,1
50010810000034,南岸****园网吧,106.648638,29.492595,,0,0,1,1
50010810000035,南岸****星网吧,106.584932,29.518629,,0,0,0,0
50010810000036,南岸****豹网吧,106.567491,29.53266,,0,0,1,3
50010810000037,南岸****池网吧,106.596697,29.589586,,0,0,0,0
50010810000038,南岸****龙网吧,106.58436,29.518867,,0,0,0,0
50010810000039,南岸****龙网吧,106.600789,29.553865,,0,0,0,0
50010910002007,一往****深网吧,106.42835,29.819517,,0,0,0,0
50010910002009,文静****经营）,106.448526,29.831696,,0,0,0,0
50011210000001,渝北****源网吧,106.63545,29.722203,,0,0,1,3
50011210000002,渝北****城网吧,106.645553,29.747432,,0,0,1,4
50011210000003,渝北****号网吧,106.517989,29.588149,,0,0,0,0
50011210000004,渝北****度网吧,106.641799,29.743672,,0,0,0,0
50011210000005,渝北****伦网吧,,,,0,0,0,0
50011210000006,渝北****缘网吧,106.632888,29.746623,,0,0,0,0
50011210000007,渝北****人网吧,106.503481,29.60527,,0,0,0,0
50011210000008,渝北****红网吧,106.50923,29.588973,,0,0,0,0
50011210000009,渝北****通网吧,106.526753,29.597748,,0,0,1,11
50011210000010,渝北****星网吧,106.643603,29.745505,,0,0,0,0
50011210000011,渝北****主网吧,106.536097,29.593955,,0,0,1,1
50011210000012,渝北****罗网吧,106.510691,29.581829,,0,0,0,0
50011210000013,渝北****天网吧,106.641799,29.743672,,0,0,1,4
50011210000014,渝北****尚网吧,106.630392,29.714392,,0,0,0,0
50011210000015,渝北****希网吧,106.613003,29.682224,,0,0,1,3
50011210000016,渝北****喜网吧,106.527082,29.596016,,0,0,0,0
50011210000017,渝北****贵网吧,106.628956,29.710361,,0,0,0,0
50011210000018,渝北****斯网吧,106.644717,29.747042,,0,0,0,0
50011210000019,渝北****湖网吧,106.633061,29.708347,,0,0,0,0
50011210000020,渝北****友网吧,106.528607,29.593502,,0,0,1,2
50011210000021,渝北****日网吧,106.523999,29.591313,,0,0,1,4
50011210000022,渝北****号网吧,106.516328,29.584731,,0,0,0,0
50011210000023,渝北****门网吧,106.612274,29.70805,,0,0,1,9
50011210000024,渝北****谊网吧,106.604932,29.687948,,0,0,0,0
50011210000025,渝北****代网吧,106.628726,29.708371,,0,0,1,21
50011210000026,渝北****乐网吧,106.627222,29.706707,,0,0,1,1
50011210000027,渝北****蓝网吧,106.63978,29.740859,,0,0,0,0
50011210000028,渝北****柒网吧,106.526996,29.592365,,0,0,1,5
50011210000029,渝北****光网吧,106.508869,29.59518,,0,0,0,0
50011210000030,渝北****山网吧,106.616994,29.699981,,0,0,0,0
50011210000031,渝北****后网吧,106.553408,29.588847,,0,0,0,0
50011210000032,渝北****晶网吧,106.522728,29.604798,,0,0,0,0
50011210000034,渝北****鑫网吧,106.621659,29.702972,,0,0,0,0
50011210000036,渝北****合网吧,106.613003,29.682224,,0,0,1,2
50011210000037,渝北****壁网吧,106.649784,29.745895,,0,0,0,0
50011210000038,渝北****飞网吧,106.522728,29.604798,,0,0,0,0
50010510000146,江北****会所）,106.490472,29.589494,,1,2,1,2
50010510000147,江北****会所）,106.667642,29.613772,,0,0,0,0
50010510000148,江北****寻网吧,106.539881,29.584747,,0,0,0,0
50010510000149,江北****会所）,106.540535,29.582668,,1,152,1,1
50010510000151,江北****会所）,106.532243,29.577414,,1,6,0,0
50010510000152,江北****会所）,106.546838,29.582496,,1,224,1,3
50010510000153,江北****络会所,106.54877,29.583003,,0,0,0,0
50010510000154,江北****博网吧,106.538946,29.588153,,0,0,1,1
50010310000030,渝中****人网吧,106.522585,29.543271,,0,0,1,21
50010310000031,渝中****费点),106.546967,29.555236,,0,0,0,0
50010310000034,渝中****你网吧,106.586274,29.566597,,0,0,1,2
50010310000035,渝中****鸟网吧,106.553882,29.565043,,0,0,0,0
50010310000036,渝中****年网吧,106.573506,29.561093,,0,0,0,0
50010310000037,渝中****份网吧,106.573977,29.55892,,0,0,0,0
50010310000038,重庆****园路店,106.587465,29.56819,,0,0,1,3
50010310000041,渝中****明网吧,106.589547,29.560769,,0,0,0,0
50010310000043,渝中****轩网吧,106.574376,29.565057,,0,0,0,0
50010310000045,渝中****靓网吧,106.57458,29.564208,,0,0,0,0
50010310000046,渝中****读网吧,106.576473,29.558481,,0,0,1,1
50010310000047,渝中****其网吧,106.567586,29.560799,,0,0,0,0
50010310000050,渝中****平网吧,106.550667,29.564601,,0,0,0,0
50010310000054,渝中****结网吧,106.53383,29.54723,,0,0,0,0
50010310000055,渝中****心网吧,106.512399,29.541719,,0,0,0,0
50010310000058,渝中****华网吧,106.594154,29.569513,,0,0,0,0
50010310000060,渝中****名网吧,106.570323,29.562039,,0,0,0,0
50010310000062,渝中****忘我),106.56214,29.567256,,0,0,0,0
50010310000063,渝中****玺网吧,106.560213,29.566327,,0,0,0,0
50010310000064,渝中****象网吧,106.522165,29.541605,,0,0,0,0
50010310000065,渝中****手网吧,106.564625,29.56154,,0,0,0,0
50010310000066,渝中****客网吧,106.584998,29.564185,,0,0,0,0
50010310000067,渝中****华网吧,106.584424,29.566123,,0,0,0,0
50010310000068,渝中****下网吧,106.579182,29.561044,,0,0,0,0
50010310000071,渝中****谋网吧,106.523903,29.544944,,0,0,1,19
50010310000072,渝中****鸟网吧,106.578215,29.563706,,0,0,1,2
50010310000074,渝中****限网吧,106.520772,29.546809,,0,0,1,4
50010310000076,渝中****祥网吧,106.560592,29.56607,,0,0,0,0
50010310000077,渝中****网吧),106.580082,29.560647,,0,0,0,0
50010310000079,渝中****叶网吧,106.546967,29.555236,,0,0,0,0
50010310000084,渝中****星网吧,106.573766,29.563341,,0,0,0,0
50010310000087,渝中****缘网吧,106.585529,29.564618,,0,0,0,0
50010310000089,渝中****家网吧,106.532507,29.548998,,0,0,0,0
50010310000091,渝中****华网吧,106.546967,29.555236,,0,0,0,0
50010310000093,渝中****晴网吧,106.591071,29.568254,,0,0,0,0
50010310000096,渝中****小网吧,106.529189,29.544104,,0,0,0,0
50010310000098,渝中****天网吧,106.555116,29.55486,,0,0,0,0
50010310000099,渝中****飞网吧,106.59017,29.561039,,0,0,1,1
50010310000100,渝中****心网吧,106.579801,29.555087,,0,0,0,0
50010310000102,渝中****络会所,106.556191,29.565459,,0,0,1,3
50010310000104,（渝****简称),106.512639,29.54229,,0,0,1,4
50010310000105,渝中****心网吧,106.519505,29.544775,,0,0,0,0
50010310000107,渝中****语网吧,106.562708,29.569698,,0,0,1,3
50010310000109,渝中****红网吧,106.554696,29.565001,,0,0,1,6
50010310000110,重庆****网吧）,106.585134,29.567096,,0,0,0,0
50010310000112,渝中****瑰网吧,106.589848,29.561204,,0,0,0,0
50010310000114,(渝****派网吧,106.518051,29.547421,,0,0,1,6
50010310000115,渝中****宇网吧,106.582469,29.560384,,0,0,0,0
50010310000116,渝中****秋网吧,106.525013,29.547068,,0,0,0,0
50010310000119,渝中****禹网吧,106.585955,29.560937,,0,0,0,0
50010310000120,渝中****兴网吧,106.583192,29.561,,0,0,0,0
50010310000121,渝中****都网吧,106.585399,29.56703,,0,0,1,2
50010310000123,渝中****格网吧,106.585591,29.558218,,0,0,0,0
50010310000125,渝中****健网吧,106.522575,29.543991,,0,0,1,1
50010310000126,渝中****网苑),106.502747,29.54067,,0,0,1,2
50010310000128,渝中****网吧),106.567127,29.568574,,0,0,0,0
50010310000129,渝中****辉网吧,106.519416,29.544994,,0,0,1,1
